iter,cost
0,294.13595541401276
1,225.1236759339078
2,183.89392774276502
3,150.8467174388844
4,124.07906839808396
5,102.38971270079554
6,84.81388421440424
7,70.57030508382479
8,59.02612750580382
9,49.66872838445704
10,42.08286759615058
11,35.93218622527483
12,30.944220070436344
13,26.898260521602793
14,23.61552181195272
15,20.95117643723631
16,18.787903794548008
17,17.03066453229359
18,15.602467729456992
19,14.440942269610685
20,13.495559615471741
21,12.72538422051098
22,12.097251329007081
23,11.584290963005952
24,11.164732322783056
25,10.820935324207936
26,10.538606118829872
27,10.306161641672281
28,10.114214873059403
29,9.955157880288295
30,9.822824062353616
31,9.712214550428948
32,9.619276575706897
33,9.540723931913988
34,9.473891535550363
35,9.416617606253714
36,9.367148220365138
37,9.324059987628283
38,9.286197408408986
39,9.252622122865711
40,9.222571793279739
41,9.195426789877976
42,9.17068319807516
43,9.1479309466159
44,9.126836084158281
45,9.107126416573323
46,9.088579866869685
47,9.07101504086037
48,9.054283579867704
49,9.038263961290353
50,9.022856472275395
51,9.007979133919397
52,8.993564395690766
53,8.979556454004486
54,8.96590907661486
55,8.952583836958517
56,8.93954868077866
57,8.92677676210392
58,8.914245497597298
59,8.901935797964894
60,8.889831442950971
61,8.877918572794767
62,8.866185274167554
63,8.85462124277526
64,8.843217508187749
65,8.831966209190643
66,8.820860410171528
67,8.809893950847906
68,8.799061323098734
69,8.788357569840548
70,8.777778201844223
71,8.767319129162619
72,8.756976604467027
73,8.746747176098621
74,8.736627649053636
75,8.726615052455204
76,8.716706612335651
77,8.70689972877315
78,8.697191956604565
79,8.687580989081253
80,8.678064643951753
81,8.668640851550697
82,8.659307644550523
83,8.650063149095418
84,8.640905577088102
85,8.631833219441317
86,8.622844440139863
87,8.613937670986422
88,8.60511140692665
89,8.596364201867576
90,8.587694664917777
91,8.579101456990436
92,8.570583287719861
93,8.562138912650552
94,8.553767130664259
95,8.54546678161626
96,8.537236744156221
97,8.5290759337131
98,8.520983300626328
99,8.512957828408124
100,8.504998532124098
101,8.497104456880667
102,8.48927467640969
103,8.48150829174167
104,8.473804429960085
105,8.46616224303015
106,8.45858090669618
107,8.451059619442317
108,8.443597601511836
109,8.436194093980962
110,8.428848357883204
111,8.421559673380838
112,8.414327338980403
113,8.407150670789283
114,8.400029001810696
115,8.392961681274812
116,8.385948074003581
117,8.378987559807365
118,8.372079532911382
119,8.365223401410182
120,8.3584185867486
121,8.351664523227567
122,8.344960657533383
123,8.338306448289156
124,8.331701365627165
125,8.325144890780905
126,8.318636515695859
127,8.312175742657908
128,8.305762083938411
129,8.299395061455131
130,8.29307420644812
131,8.286799059169775
132,8.280569168588379
133,8.27438409210436
134,8.268243395278692
135,8.26214665157274
136,8.256093442099061
137,8.25008335538253
138,8.24411598713136
139,8.238190940017441
140,8.23230782346564
141,8.226466253451537
142,8.220665852307253
143,8.214906248535002
144,8.20918707662787
145,8.203507976897695
146,8.1978685953095
147,8.192268583322354
148,8.186707597736238
149,8.181185300544714
150,8.175701358793123
151,8.170255444442033
152,8.16484723423577
153,8.159476409575698
154,8.154142656398186
155,8.148845665056928
156,8.143585130209493
157,8.138360750707902
158,8.13317222949311
159,8.128019273493141
160,8.12290159352478
161,8.117818904198693
162,8.112770923827787
163,8.107757374338668
164,8.102777981186154
165,8.097832473270621
166,8.092920582858124
167,8.088042045503176
168,8.083196599974054
169,8.078383988180567
170,8.073603955104195
171,8.068856248730416
172,8.064140619983295
173,8.059456822662098
174,8.054804613379932
175,8.050183751504338
176,8.04559399909971
177,8.041035120871513
178,8.036506884112258
179,8.032009058649107
180,8.027541416793051
181,8.023103733289691
182,8.018695785271452
183,8.01431735221126
184,8.009968215877564
185,8.005648160290717
186,8.00135697168063
187,7.997094438445659
188,7.992860351112676
189,7.988654502298332
190,7.9844766866713535
191,7.980326700916
192,7.97620434369649
193,7.972109415622462
194,7.9680417192153925
195,7.964001058875919
196,7.959987240852115
197,7.956000073208593
198,7.952039365796463
199,7.9481049302240985
200,7.9441965798286995
201,7.940314129648605
202,7.936457396396324
203,7.932626198432329
204,7.928820355739449
205,7.925039689898021
206,7.921284024061609
207,7.917553182933404
208,7.91384699274316
209,7.910165281224775
210,7.906507877594393
211,7.902874612529073
212,7.899265318145963
213,7.8956798279820255
214,7.892117976974206
215,7.888579601440113
216,7.885064539059168
217,7.881572628854166
218,7.878103711173334
219,7.874657627672736
220,7.871234221299151
221,7.867833336273312
222,7.864454818073542
223,7.86109851341975
224,7.857764270257808
225,7.8544519377442725
226,7.851161366231412
227,7.8478924072526155
228,7.844644913508084
229,7.841418738850859
230,7.838213738273106
231,7.835029767892742
232,7.831866684940318
233,7.828724347746172
234,7.825602615727868
235,7.822501349377871
236,7.819420410251498
237,7.816359660955071
238,7.8133189651343695
239,7.810298187463258
240,7.807297193632548
241,7.804315850339105
242,7.801354025275136
243,7.798411587117687
244,7.795488405518347
245,7.792584351093148
246,7.7896992954126425
247,7.786833110992165
248,7.783985671282277
249,7.781156850659391
250,7.778346524416522
251,7.775554568754284
252,7.772780860771939
253,7.7700252784587
254,7.767287700685116
255,7.764568007194639
256,7.761866078595311
257,7.759181796351613
258,7.756515042776432
259,7.753865701023167
260,7.751233655077944
261,7.7486187897519985
262,7.746020990674127
263,7.743440144283294
264,7.740876137821352
265,7.738328859325846
266,7.735798197622951
267,7.73328404232052
268,7.730786283801211
269,7.728304813215754
270,7.725839522476267
271,7.7233903042497145
272,7.7209570519514354
273,7.718539659738774
274,7.716138022504775
275,7.713752035872024
276,7.711381596186497
277,7.709026600511547
278,7.706686946621972
279,7.70436253299811
280,7.702053258820102
281,7.699759023962121
282,7.697479728986771
283,7.695215275139513
284,7.692965564343148
285,7.690730499192422
286,7.688509982948639
287,7.686303919534374
288,7.684112213528259
289,7.681934770159801
290,7.67977149530429
291,7.677622295477743
292,7.675487077831931
293,7.673365750149457
294,7.671258220838878
295,7.669164398929906
296,7.667084194068635
297,7.665017516512849
298,7.662964277127352
299,7.660924387379411
300,7.65889775933414
301,7.656884305650074
302,7.654883939574644
303,7.652896574939832
304,7.650922126157779
305,7.648960508216496
306,7.64701163667556
307,7.645075427661931
308,7.643151797865759
309,7.641240664536225
310,7.6393419454774785
311,7.6374555590445645
312,7.6355814241394
313,7.633719460206822
314,7.631869587230631
315,7.630031725729701
316,7.628205796754121
317,7.626391721881362
318,7.62458942321249
319,7.622798823368435
320,7.6210198454862415
321,7.619252413215404
322,7.617496450714215
323,7.615751882646154
324,7.614018634176293
325,7.61229663096776
326,7.610585799178217
327,7.608886065456359
328,7.607197356938472
329,7.605519601245014
330,7.603852726477203
331,7.60219666121365
332,7.600551334507041
333,7.598916675880809
334,7.597292615325863
335,7.595679083297326
336,7.5940760107113405
337,7.592483328941814
338,7.590900969817315
339,7.589328865617871
340,7.587766949071885
341,7.586215153353032
342,7.584673412077183
343,7.583141659299379
344,7.5816198295107915
345,7.580107857635757
346,7.578605679028781
347,7.577113229471602
348,7.575630445170269
349,7.574157262752251
350,7.5726936192635375
351,7.571239452165818
352,7.569794699333625
353,7.568359299051515
354,7.566933190011319
355,7.565516311309349
356,7.564108602443658
357,7.56271000331131
358,7.561320454205701
359,7.559939895813841
360,7.558568269213726
361,7.557205515871674
362,7.555851577639724
363,7.554506396753007
364,7.55316991582718
365,7.551842077855862
366,7.550522826208092
367,7.549212104625789
368,7.547909857221269
369,7.546616028474732
370,7.545330563231815
371,7.544053406701119
372,7.54278450445179
373,7.541523802411102
374,7.540271246862045
375,7.539026784440967
376,7.537790362135192
377,7.53656192728067
378,7.535341427559668
379,7.534128810998445
380,7.532924025964943
381,7.531727021166535
382,7.530537745647732
383,7.529356148787959
384,7.5281821802993125
385,7.527015790224341
386,7.525856928933854
387,7.524705547124738
388,7.523561595817783
389,7.522425026355509
390,7.521295790400068
391,7.520173839931107
392,7.519059127243632
393,7.517951604945943
394,7.516851225957545
395,7.515757943507088
396,7.514671711130308
397,7.5135924826679945
398,7.512520212263976
399,7.511454854363103
400,7.510396363709253
401,7.509344695343357
402,7.508299804601427
403,7.50726164711261
404,7.506230178797236
405,7.505205355864918
406,7.504187134812597
407,7.503175472422674
408,7.502170325761121
409,7.501171652175593
410,7.50017940929358
411,7.49919355502055
412,7.498214047538119
413,7.497240845302216
414,7.496273907041292
415,7.495313191754507
416,7.494358658709937
417,7.493410267442827
418,7.4924679777538
419,7.491531749707118
420,7.490601543628942
421,7.489677320105623
422,7.488759039981947
423,7.487846664359474
424,7.4869401545948175
425,7.486039472297979
426,7.485144579330673
427,7.484255437804668
428,7.4833720100801475
429,7.482494258764059
430,7.481622146708503
431,7.480755637009119
432,7.479894693003477
433,7.479039278269486
434,7.478189356623808
435,7.477344892120298
436,7.476505849048444
437,7.475672191931789
438,7.4748438855264405
439,7.474020894819499
440,7.4732031850275575
441,7.472390721595179
442,7.471583470193421
443,7.470781396718334
444,7.469984467289468
445,7.469192648248426
446,7.4684059061573995
447,7.4676242077977015
448,7.466847520168355
449,7.46607581048464
450,7.465309046176673
451,7.464547194888031
452,7.463790224474276
453,7.463038103001655
454,7.462290798745639
455,7.461548280189584
456,7.460810516023372
457,7.460077475142034
458,7.459349126644408
459,7.458625439831823
460,7.457906384206728
461,7.457191929471421
462,7.456482045526691
463,7.455776702470546
464,7.455075870596903
465,7.454379520394316
