iter,cost
455,25.842947
456,25.842840
457,25.842734
458,25.842630
459,25.842526
460,25.842424
461,25.842324
462,25.842224
463,25.842125
464,25.842028
465,25.841932
466,25.841837
467,25.841743
468,25.841650
469,25.841558
470,25.841467
471,25.841377
472,25.841288
473,25.841201
474,25.841114
475,25.841028
476,25.840944
477,25.840860
478,25.840777
479,25.840695
480,25.840614
481,25.840534
482,25.840455
483,25.840377
484,25.840299
485,25.840223
486,25.840147
487,25.840072
488,25.839998
489,25.839925
490,25.839853
491,25.839781
492,25.839711
493,25.839641
494,25.839571
495,25.839503
496,25.839435
497,25.839369
498,25.839302
499,25.839237
500,25.839172
501,25.839108
502,25.839045
503,25.838982
504,25.838920
505,25.838859
506,25.838798
507,25.838738
508,25.838679
509,25.838620
510,25.838562
511,25.838505
512,25.838448
513,25.838392
514,25.838336
515,25.838281
516,25.838226
517,25.838173
518,25.838119
519,25.838066
520,25.838014
521,25.837963
522,25.837911
523,25.837861
524,25.837811
525,25.837761
526,25.837712
527,25.837664
528,25.837616
529,25.837568
530,25.837521
531,25.837475
532,25.837428
533,25.837383
534,25.837338
535,25.837293
536,25.837249
537,25.837205
538,25.837162
539,25.837119
540,25.837076
541,25.837034
542,25.836992
543,25.836951
544,25.836910
545,25.836870
546,25.836830
547,25.836790
548,25.836751
549,25.836712
550,25.836674
551,25.836636
552,25.836598
553,25.836560
554,25.836523
555,25.836487
556,25.836450
557,25.836414
558,25.836379
559,25.836344
560,25.836309
561,25.836274
562,25.836240
563,25.836206
564,25.836172
565,25.836139
566,25.836106
567,25.836073
568,25.836041
569,25.836009
570,25.835977
571,25.835945
572,25.835914
573,25.835883
574,25.835852
575,25.835822
576,25.835792
577,25.835762
578,25.835732
579,25.835703
580,25.835674
581,25.835645
582,25.835617
583,25.835589
584,25.835560
585,25.835533
586,25.835505
587,25.835478
588,25.835451
589,25.835424
590,25.835397
591,25.835371
592,25.835345
593,25.835319
594,25.835293
595,25.835268
596,25.835243
597,25.835218
598,25.835193
599,25.835168
600,25.835144
601,25.835119
602,25.835095
603,25.835072
604,25.835048
605,25.835025
606,25.835001
607,25.834978
608,25.834955
609,25.834933
610,25.834910
611,25.834888
612,25.834866
613,25.834844
614,25.834822
615,25.834800
616,25.834779
617,25.834758
618,25.834737
619,25.834716
620,25.834695
621,25.834674
622,25.834654
623,25.834634
624,25.834613
625,25.834593
626,25.834574
627,25.834554
628,25.834534
629,25.834515
630,25.834496
631,25.834477
632,25.834458
633,25.834439
634,25.834420
635,25.834402
636,25.834383
637,25.834365
638,25.834347
639,25.834329
640,25.834311
641,25.834293
642,25.834276
643,25.834258
644,25.834241
645,25.834223
646,25.834206
647,25.834189
648,25.834172
649,25.834156
650,25.834139
651,25.834122
652,25.834106
653,25.834090
654,25.834073
655,25.834057
656,25.834041
657,25.834025
658,25.834010
659,25.833994
660,25.833978
661,25.833963
662,25.833947
663,25.833932
664,25.833917
665,25.833902
666,25.833887
667,25.833872
668,25.833857
669,25.833843
670,25.833828
671,25.833813
672,25.833799
673,25.833785
674,25.833770
675,25.833756
676,25.833742
677,25.833728
678,25.833714
679,25.833701
680,25.833687
681,25.833673
682,25.833660
683,25.833646
684,25.833633
685,25.833619
686,25.833606
687,25.833593
688,25.833580
689,25.833567
690,25.833554
691,25.833541
692,25.833528
693,25.833515
694,25.833503
695,25.833490
696,25.833478
697,25.833465
698,25.833453
699,25.833441
700,25.833428
701,25.833416
702,25.833404
703,25.833392
704,25.833380
705,25.833368
706,25.833356
707,25.833344
708,25.833333
709,25.833321
710,25.833309
711,25.833298
712,25.833286
713,25.833275
714,25.833264
715,25.833252
716,25.833241
717,25.833230
718,25.833219
719,25.833208
720,25.833197
721,25.833186
722,25.833175
723,25.833164
724,25.833153
725,25.833142
726,25.833132
727,25.833121
728,25.833110
729,25.833100
730,25.833089
731,25.833079
732,25.833068
733,25.833058
734,25.833048
735,25.833037
736,25.833027
737,25.833017
738,25.833007
739,25.832997
740,25.832987
741,25.832977
742,25.832967
743,25.832957
744,25.832947
745,25.832937
746,25.832928
747,25.832918
748,25.832908
749,25.832898
750,25.832889
751,25.832879
752,25.832870
753,25.832860
754,25.832851
755,25.832841
756,25.832832
757,25.832823
758,25.832813
759,25.832804
760,25.832795
761,25.832786
762,25.832777
763,25.832768
764,25.832758
765,25.832749
766,25.832740
767,25.832731
768,25.832723
769,25.832714
770,25.832705
771,25.832696
772,25.832687
773,25.832678
774,25.832670
775,25.832661
776,25.832652
777,25.832644
778,25.832635
779,25.832627
780,25.832618
781,25.832609
782,25.832601
783,25.832593
784,25.832584
785,25.832576
786,25.832567
787,25.832559
788,25.832551
789,25.832543
790,25.832534
791,25.832526
792,25.832518
793,25.832510
794,25.832502
795,25.832493
796,25.832485
797,25.832477
798,25.832469
799,25.832461
800,25.832453
801,25.832445
802,25.832438
803,25.832430
804,25.832422
805,25.832414
806,25.832406
807,25.832398
808,25.832391
809,25.832383
810,25.832375
811,25.832367
812,25.832360
813,25.832352
814,25.832344
815,25.832337
816,25.832329
817,25.832322
818,25.832314
819,25.832307
820,25.832299
821,25.832292
822,25.832284
823,25.832277
824,25.832269
825,25.832262
826,25.832255
827,25.832247
828,25.832240
829,25.832233
830,25.832225
831,25.832218
832,25.832211
833,25.832204
834,25.832197
835,25.832189
836,25.832182
837,25.832175
838,25.832168
839,25.832161
840,25.832154
841,25.832147
842,25.832140
843,25.832133
844,25.832126
845,25.832119
846,25.832112
847,25.832105
848,25.832098
849,25.832091
850,25.832084
851,25.832077
852,25.832070
853,25.832063
854,25.832057
855,25.832050
856,25.832043
857,25.832036
858,25.832029
859,25.832023
860,25.832016
861,25.832009
862,25.832002
863,25.831996
864,25.831989
865,25.831982
866,25.831976
867,25.831969
868,25.831963
869,25.831956
870,25.831949
871,25.831943
872,25.831936
873,25.831930
874,25.831923
875,25.831917
876,25.831910
877,25.831904
878,25.831897
879,25.831891
880,25.831884
881,25.831878
882,25.831872
883,25.831865
884,25.831859
